Sekcja;Zaklasyfikowanie;Grupa elementarna
DEFICYT;zawód deficytowy;Projektanci aplikacji sieciowych i multimediów
DEFICYT;zawód deficytowy;Pośrednicy pracy i zatrudnienia
DEFICYT;zawód deficytowy;Lekarze weterynarii specjaliści
DEFICYT;zawód deficytowy;Analitycy systemów komputerowych
DEFICYT;zawód deficytowy;Specjaliści do spraw rozwoju systemów informatycznych
DEFICYT;zawód deficytowy;Pracownicy wykonujący dorywcze prace proste
DEFICYT;zawód deficytowy;Pracownicy usług osobistych gdzie indziej niesklasyfikowani
DEFICYT;zawód deficytowy;Pracownicy przygotowujący posiłki typu fast food
DEFICYT;zawód deficytowy;Robotnicy przemysłowi i rzemieślnicy gdzie indziej niesklasyfikowani
DEFICYT;zawód deficytowy;Projektanci i administratorzy baz danych
DEFICYT;zawód deficytowy;Kontrolerzy (sterowniczy) procesów metalurgicznych
DEFICYT;zawód deficytowy;Kontrolerzy (sterowniczy) procesów przemysłowych gdzie indziej niesklasyfikowani
DEFICYT;zawód deficytowy;Pracownicy świadczący usługi na ulicach
DEFICYT;zawód deficytowy;Specjaliści do spraw sprzedaży (z wyłączeniem technologii informacyjno-komunikacyjnych)
DEFICYT;zawód deficytowy;Agenci i administratorzy nieruchomości
DEFICYT;zawód deficytowy;Doradcy finansowi i inwestycyjni
DEFICYT;zawód deficytowy;Operatorzy maszyn do produkcji wyrobów z tworzyw sztucznych
DEFICYT;zawód deficytowy;Technicy sieci internetowych
DEFICYT;zawód deficytowy;Technicy archiwiści i pokrewni
DEFICYT;zawód deficytowy;Operatorzy maszyn do szycia
DEFICYT;zawód deficytowy;Lekarze specjaliści (ze specjalizacją II stopnia lub tytułem specjalisty)
DEFICYT;zawód deficytowy;Magazynierzy i pokrewni
DEFICYT;zawód deficytowy;Kierowcy operatorzy wózków jezdniowych
DEFICYT;zawód deficytowy;Kierownicy do spraw finansowych
DEFICYT;zawód deficytowy;Przedstawiciele handlowi
DEFICYT;zawód deficytowy;Specjaliści do spraw sieci komputerowych
DEFICYT;zawód deficytowy;Agenci sprzedaży bezpośredniej
DEFICYT;zawód deficytowy;Kierownicy do spraw produkcji przemysłowej
DEFICYT;zawód deficytowy;Układacze towarów na półkach
DEFICYT;zawód deficytowy;Robotnicy robót stanu surowego i pokrewni gdzie indziej niesklasyfikowani
DEFICYT;zawód deficytowy;Pracownicy sprzedaży i pokrewni gdzie indziej niesklasyfikowani
DEFICYT;zawód deficytowy;Inżynierowie do spraw przemysłu i produkcji
RÓWNOWAGA;zawód zrównoważony;Specjaliści do spraw zarządzania zasobami ludzkimi
RÓWNOWAGA;zawód zrównoważony;Urzędnicy do spraw świadczeń społecznych
RÓWNOWAGA;zawód zrównoważony;Sprzedawcy (konsultanci) w centrach sprzedaży telefonicznej / internetowej
RÓWNOWAGA;zawód zrównoważony;Operatorzy maszyn do prania
RÓWNOWAGA;zawód zrównoważony;Kierownicy w handlu detalicznym i hurtowym
RÓWNOWAGA;zawód zrównoważony;Pracownicy obsługi płacowej
RÓWNOWAGA;zawód zrównoważony;Monterzy gdzie indziej niesklasyfikowani
RÓWNOWAGA;zawód zrównoważony;Kierownicy do spraw marketingu i sprzedaży
RÓWNOWAGA;zawód zrównoważony;Specjaliści do spraw szkoleń zawodowych i rozwoju kadr
RÓWNOWAGA;zawód zrównoważony;Pracownicy do spraw kredytów, pożyczek i pokrewni
NADWYŻKA;zawód nadwyżkowy;Sprzedawcy na targowiskach i bazarach
